id	uuid	order_number	curve_name	curve_id	scenario_name	scenario_shift	current_curve_value	m1_value	m2_value	m3_value	m4_value	m5_value	m6_value	m7_value	m8_value	m9_value	m10_value	m11_value	m12_value	m13_value	m14_value	m15_value	m16_value	m17_value	m18_value	m19_value	m20_value	m21_value	m22_value	m23_value	m24_value	remark	created_at	updated_at
19	2788fd66-fd85-43b8-bd3a-055e5abf93ea	19	地方政府债收益率曲线_AAA_3Y	19	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
20	dfdb7b64-8aca-4002-b57a-4c607a2f9197	20	地方政府债收益率曲线_AAA_5Y	20	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
21	c518db3a-8f29-45a9-a608-5f14dde21ea0	21	地方政府债收益率曲线_AAA_10Y	21	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
22	548d86ee-dd5d-4292-8235-471a009bbe9b	22	国开债收益率曲线_1Y	22	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
23	2112797d-775f-4d21-bdbc-d26515edeed4	23	国开债收益率曲线_3Y	23	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
24	7f95d315-674f-4d5f-bafb-ba7bae42f1e5	24	国开债收益率曲线_5Y	24	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
25	2b70c2fd-09f8-468c-8b0b-4610c13c174a	25	国开债收益率曲线_10Y	25	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
26	90db9925-b46b-48dc-b8a9-d75b729a8bc6	26	商业银行普通金融债到期收益率_AAA_1Y	26	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
27	6107e650-f989-4911-a3ea-efc817653857	27	商业银行普通金融债到期收益率_AAA_3Y	27	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
28	9770c298-bb10-44b4-ad83-b3cb3709f7e4	28	商业银行普通金融债到期收益率_AAA_5Y	28	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
29	4d561d4f-b485-4ccd-9ce0-77b0fa4b6813	29	商业银行普通金融债到期收益率_AAA_10Y	29	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
30	90522bb5-892a-48c0-906f-60ce2c8d8795	30	企业收益率曲线AAA_1Y	30	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
31	f01b2705-5b6c-40d1-ac98-70834de11c44	31	企业收益率曲线AAA_3Y	31	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
32	b1e735c7-3e07-47c2-b202-ef5c4029bca6	32	企业收益率曲线AAA_5Y	32	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
33	b83c29f2-be0f-4c33-9b69-b00b836b5922	33	企业收益率曲线AAA_10Y	33	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
34	e73de7d8-68df-48f3-b111-6a5415c89922	34	法定存贷款利率_LPR_3M	34	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
35	85c73b28-d945-4840-970d-946190ab54e9	35	法定存贷款利率_LPR_6M	35	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
36	bbcb0cb6-7266-4fcc-9767-b7fe25ddfb54	36	法定存贷款利率_LPR_1Y	36	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
37	ff40318c-fd94-4c2c-a0ae-28ec3f843895	37	法定存贷款利率_LPR_2Y	37	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
38	78168428-56b6-4d26-a4d6-a49b36b3a3b9	38	法定存贷款利率_LPR_3Y	38	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
39	62253df4-e12f-437e-a930-17cb7721e905	39	法定存贷款利率_LPR_5Y	39	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
40	bb2b69b3-6755-4764-8c69-61b5c650fab5	40	法定存贷款利率_LPR_10Y	40	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
41	8bbe79c6-4fd3-40bd-a389-bcb66d93c18c	41	内部_票据贴现利率_3M	41	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
42	66fce355-1436-4537-8599-069b8267e191	42	城商转贴现收益率曲线_6M	42	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
43	cfec24a7-2196-4d04-b32f-07afcd159c78	43	内部_福费廷_3M	43	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
44	6b595b1c-593f-4580-b7d2-591a611745f9	44	内部_应收款买断_3M	44	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
45	c794e7d8-aa03-4f7b-8b97-b4b44e52f499	45	内部_再贴现_1Y	45	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
46	0e10bd24-f865-4bff-a02a-1acab51af4ce	46	内部_再贷款_1Y	46	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
47	3d877359-e87d-4642-991e-59241f74fbae	47	内部_单位活期_1D	47	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
48	6e52a4f3-f690-4cf5-8c23-2f8f16aa3487	48	内部_单位协议_1Y	48	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
49	a5806d3b-b585-4254-8606-f7e39cf64046	49	内部_单位协议_3Y	49	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
50	ab49bf68-cc7a-453e-9c98-2a0927ad88eb	50	内部_单位协议_5Y	50	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
51	74a7705b-1eb9-46e0-9640-dc1ca8abdfa6	51	内部_单位定期_3M	51	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
52	a076d89a-489c-4d4a-bef0-557020872f86	52	内部_单位定期_6M	52	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
53	e76788f3-b31a-4feb-909f-b372129271b6	53	内部_单位定期_1Y	53	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
54	54ebfbf9-5e30-4f5d-8e28-24016a8cb5cd	54	内部_单位定期_2Y	54	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
55	e7704dd6-58fa-4ad3-9db4-e3bd72f3c3a3	55	内部_单位定期_3Y	55	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
56	38b3ec9d-ef2c-4f39-afdc-b0c35b1e4839	56	内部_单位定期_5Y	56	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
57	0a541e9a-6e8c-4bd6-a40e-743624216742	57	内部_单位通知_1D	57	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
58	f63d0ce0-2d93-4afb-b7f6-c60bfbcffed8	58	内部_单位通知_7D	58	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
59	783b904b-3a77-4739-be68-ba02a3141578	59	内部_理财_1Y	59	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
60	af091375-28fa-4bbc-bd9a-e80ac3852509	60	内部_大额存单_1Y	60	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
61	d5f6db49-9e22-46ea-8905-ee78a8ce8111	61	内部_大额存单_2Y	61	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
62	3778c760-ce35-4867-b3c5-ccf6172b9720	62	内部_大额存单_3Y	62	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
63	c4ea48df-f8b1-40c5-8740-137f72cd7398	63	内部_个人活期_1D	63	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
64	bb73cbd0-1cbb-4e5a-a6a9-46f3260e5d09	64	内部_个人协议_1D	64	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
65	e6cd679a-da95-4ba7-ab93-4d43da2ed671	65	内部_个人定期_3Y	65	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
66	dd7e4936-fcdd-4402-884f-f52b0ee7fb7a	66	内部_个人定期_5Y	66	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
67	616b8dfe-4a78-4b28-9181-9bf8821a27d0	67	内部_个人定期_3M	67	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
68	0864621b-05ed-45c3-80ea-98144fecfe17	68	内部_个人定期_6M	68	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
69	610a2cb4-6821-4827-96fb-08b007ca0d39	69	内部_个人定期_1Y	69	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
70	b7cce4eb-7ce3-40f7-ba84-00a280c4d497	70	内部_个人定期_2Y	70	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
71	6590235f-dfd2-4e57-ba8a-d834bee4c1a3	71	内部_个人通知_1D	71	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
72	419e7e01-3380-486b-9cdb-117cc892bb2a	72	内部_个人通知_7D	72	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
73	033b981d-e967-4bbe-b61b-be674f2603d3	73	内部_大额存单_3M	73	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
